Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,nodeX,nodeY,STREET1,STREET2
1,0,0,1,2009,1032307.885,209612.9306,61 ROAD,HORACE HARDING EXPRESSWAY SR S
1,0,0,1,2009,1032439.187,244289.0771,WATERBURY-BAISLEY AVE PED OVPS,BRUCKNER BOULEVARD
1,1,0,0,2009,1033769.142,163340.7442,CROSS BAY BOULEVARD,EAST 1 ROAD
1,1,0,0,2009,1033939.456,183624.1121,LEFFERTS BOULEVARD,135 AVENUE
1,1,0,0,2009,1034008.613,239662.046,EAST TREMONT AVENUE,SCHLEY AVENUE
1,0,1,0,2009,1034941.226,214295.2437,45 AVENUE,BURLING STREET
1,1,0,0,2009,1035236.537,211762.9558,KISSENA BOULEVARD,OAK AVENUE
1,1,0,0,2009,1035777.589,216462.2112,SANFORD AVENUE,149 PLACE
1,0,0,1,2009,1036447.259,192173.2217,VAN WYCK EXPWY NB EN LIBERTY AVE,VAN WYCK EXPRESSWAY EXIT 4 SB
1,1,0,0,2009,1037195.476,195031.815,JAMAICA AVENUE,146 STREET
1,0,0,1,2009,1037753.461,188732.2873,VAN WYCK EXPRESSWAY SR WEST,LINCOLN STREET
1,1,0,0,2009,1038492.37,224476.1416,17 ROAD,FRANCIS LEWIS BOULEVARD
1,1,0,0,2009,1039155.276,213938.2333,46 AVENUE,165 STREET
1,1,0,0,2009,1040803.803,228185.5896,9 AVENUE,TOTTEN STREET
1,1,0,0,2009,1041384.644,205756.7244,JEWEL AVENUE,UTOPIA PARKWAY
1,1,0,0,2009,1041406.931,189382.9717,LINDEN BOULEVARD,SUTPHIN BOULEVARD
1,1,0,0,2009,1042992.384,191591.4318,110 ROAD,GUY R BREWER BOULEVARD
1,0,0,1,2009,1045177.747,213511.9287,FRANCIS LEWIS BOULEVARD,WEEKS LANE
2,0,0,2,2009,1046815.221,195838.2865,DUNKIRK STREET,ARCADE AVENUE
1,0,0,1,2009,1046898.462,197909.9786,185 STREET,JAMAICA AVENUE
1,1,0,0,2009,1047709.038,156465.5155,BEACH 39 STREET,BEACH CHANNEL DRIVE
1,1,0,0,2009,1048146.581,216352.6421,NORTHERN BOULEVARD,BELL BOULEVARD
1,1,0,0,2009,1052469.35,212543.4857,224 STREET,HORACE HARDING EXPRESSWAY SR S
1,0,0,1,2009,1053238.141,188477.1533,131 AVENUE,SPRINGFIELD BOULEVARD
1,0,0,1,2009,1054484.096,156357.3694,SEAGIRT BOULEVARD,BEACH 13 STREET
1,0,0,1,2009,1055468.143,172784.9543,BROOKVILLE BOULEVARD,ROCKAWAY BOULEVARD
1,1,0,0,2009,1055906.718,205908.0987,HILLSIDE AVENUE,88 AVENUE
1,0,0,1,2009,1055964.828,172110.9728,BROOKVILLE BOULEVARD,ROCKAWAY BOULEVARD
1,1,0,0,2009,1057052.172,200911.3928,218 STREET,JAMAICA AVENUE
1,1,0,0,2009,1058273.836,198994.2284,221 STREET,HEMPSTEAD AVENUE
1,1,0,0,2009,1060004.456,209289.8702,CROSS ISLAND PARKWAY,UNION TURNPIKE
1,1,0,0,2009,1023147.661,244524.0934,UNIONPORT ROAD,METROPOLITAN OVAL
1,1,0,0,2009,1029513.914,207073.6312,MEADOW LAKE DRIVE,VAN WYCK EXPRESSWAY EXIT 11 SB
1,0,0,1,2010,915813.2067,122971.6862,SWINNERTON STREET,HYLAN BOULEVARD
1,0,0,1,2010,926730.6157,142481.3217,WEST SERVICE ROAD,ARTHUR KILL ROAD
1,1,0,0,2010,928380.5041,130762.7202,SEGUINE AVENUE,WATERBURY AVENUE
1,0,0,1,2010,933583.5446,159459.2759,TELEPORT DRIVE,SOUTH AVENUE
